fixture_id,date,match_time,region_league,home_team,away_team,home_team_id,away_team_id,home_score,away_score,match_status,status,match_link,last_updated
jeWdYRv9,07.02.2026,07.02.2026 03:00,MEXICO: - Liga MX Women - Clausura,Monterrey W,Club Tijuana W,zsGcWCUm,CE4Qf9AJ,,,scheduled,,https://www.flashscore.com/match/football/club-tijuana-zsGcWCUm/monterrey-CE4Qf9AJ/?mid=jeWdYRv9,2026-02-13T12:17:12.648544
ATEYpLBO,07.02.2026,07.02.2026 04:00,MEXICO: - Liga de Expansion MX - Clausura,Zacatecas Mineros,Atl. Morelia,lhGQk0Yg,MwA7wxoa,,,scheduled,,https://www.flashscore.com/match/football/club-atletico-morelia-lhGQk0Yg/zacatecas-mineros-MwA7wxoa/?mid=ATEYpLBO,2026-02-13T12:17:13.146089
YcMlMSHa,07.02.2026,07.02.2026 04:06,Unknown,Club Tijuana,Puebla,nuNVeQkr,pO5ijKm0,0,0,finished,,https://www.flashscore.com/match/football/club-tijuana-nuNVeQkr/puebla-pO5ijKm0/?mid=YcMlMSHa,2026-02-13T12:17:13.405318
6BKdK6nC,07.02.2026,07.02.2026 04:06,MEXICO: - Liga MX - Clausura,Mazatlan FC,Guadalajara Chivas,Y5TaMKY6,AXl5ehGE,,,scheduled,,https://www.flashscore.com/match/football/guadalajara-chivas-Y5TaMKY6/mazatlan-fc-AXl5ehGE/?mid=6BKdK6nC,2026-02-13T12:17:13.461533
lWczY0AE,07.02.2026,07.02.2026 05:00,Unknown,Auckland FC,Sydney FC,2J7jacL6,6JsBlXVI,1,0,finished,,https://www.flashscore.com/match/football/auckland-fc-2J7jacL6/sydney-fc-6JsBlXVI/?mid=lWczY0AE,2026-02-13T12:17:13.788105
W8vsXboC,07.02.2026,07.02.2026 09:30,Unknown,Persik Kediri,Dewa United,IeUVbzhs,MDFOmQ7H,2,1,finished,,https://www.flashscore.com/match/football/dewa-united-IeUVbzhs/persik-kediri-MDFOmQ7H/?mid=W8vsXboC,2026-02-13T12:27:55.051169
lbt01Ok3,07.02.2026,07.02.2026 09:30,Unknown,GB FC,Young Elephant,tlmtk0qQ,A5TODdLm,0,1,finished,,https://www.flashscore.com/match/football/gb-fc-tlmtk0qQ/young-elephant-A5TODdLm/?mid=lbt01Ok3,2026-02-13T12:27:58.762307
f3NRtMZ2,07.02.2026,07.02.2026 09:35,Unknown,WS Wanderers,Melbourne City,OKfoGJBe,l00pXxBN,1,1,finished,,https://www.flashscore.com/match/football/melbourne-city-OKfoGJBe/western-sydney-wanderers-l00pXxBN/?mid=f3NRtMZ2,2026-02-13T12:28:01.576065
zX7zc3jt,07.02.2026,07.02.2026 10:00,Unknown,Beltinci,Varteks Varazdin,27oZF415,40QU6cXB,1,1,finished,,https://www.flashscore.com/match/football/beltinci-27oZF415/varteks-varazdin-2011-40QU6cXB/?mid=zX7zc3jt,2026-02-13T12:28:07.044476
OnJjVFK0,07.02.2026,07.02.2026 10:00,Unknown,Benesov,Motorlet Prague,SfOWozo9,GMJK27qD,1,0,finished,,https://www.flashscore.com/match/football/benesov-SfOWozo9/motorlet-prague-GMJK27qD/?mid=OnJjVFK0,2026-02-13T12:28:07.568224
